MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1s1	q1s2	q1s3	q1s4	q1s5	q1s6	q1s7	q1s8	q1s9	q1s10	q1s11	q1s12	q1s13	q1s14	q1s15	q1s16	q1s17	q1s18	q1s19	q2s1	q2s2	q2s3	q2s4	q2s5	q2s6	q2s7	q2s8	q2s9	q2s10	q2s11	q2s12	q2s13	q2s14	q2s15	q2s16	q2s17	q2s18	q2s19	q3s1	q3s2	q3s3	q3s4	q3s5	q3s6	q3s7	q3s8	q3s9	q3s10	q3s11	q3s12	q3s13	q3s14	q3s15	q3s16	q3s17	q3s18	q3s19
1004921020	2020/10/13 09:27	2	23	3	16	4	11	1	2	2	3	2	2	2	2	2	3	3	3	4	4	2	2	2	2	3	3	3	3	3	3	3	3	3	2	3	3	3	4	4	2	2	2	2	2	2	3	3	3	3	3	3	3	2	3	3	3	4	4	2	2	2	2	2	3	3
1004934690	2020/10/13 02:02	2	35	4	14	3	8	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2
1004943606	2020/10/12 22:30	2	18	2	4	2	10	1	2	3	3	2	1	2	2	2	4	3	3	4	3	4	3	4	4	4	4	3	2	3	3	3	2	3	3	2	2	3	2	3	2	3	2	3	3	2	2	2	2	3	3	1	3	3	3	1	3	2	3	3	2	3	3	2	3	2
1004987055	2020/10/13 07:26	2	26	3	45	8	11	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1005008484	2020/10/12 21:41	2	49	5	14	3	8	2	1	3	3	3	3	3	3	4	3	4	4	3	4	4	4	4	4	3	4	4	4	4	4	4	4	4	5	4	4	4	3	3	4	4	4	4	4	3	4	4	4	4	4	4	4	5	4	5	4	4	3	4	4	4	3	3	3	4
1005009477	2020/10/12 23:04	2	19	2	45	8	10	1	2	3	3	4	4	3	4	3	2	3	3	3	2	2	2	3	3	2	3	3	3	3	3	4	3	4	3	3	3	3	3	4	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1005031446	2020/10/12 22:42	2	18	2	27	5	10	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1005033193	2020/10/13 06:46	2	26	3	27	5	9	2	2	4	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	5	3	3	3	3	3	4	3	3	5	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	5
1005034039	2020/10/12 19:31	1	34	4	13	3	5	2	2	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3
1005035668	2020/10/12 17:10	2	18	2	1	1	10	1	2	4	4	3	4	3	4	4	4	3	2	2	2	3	3	3	4	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	4	4	3	3	4	3	3	3	4	3	3	3	3	3	3	4	4	4	3
