MID	DAY	SEX	AGE	GEN	PRE	ARE	JOB	MAR	CHI	q1	q2	q3s1	q3s2	q3s3	q3s4	q3s5	q4s1	q4s2	q4s3	q4s4	q4s5
1006391239	2020/10/09 20:56	2	46	5	2	2	3	2	2	2	4	1	6	1	1	6	2	2	1	1	2
1006413103	2020/10/10 00:01	1	27	3	34	6	4	2	2	1	2	1	5	5	5	5	3	2	3	2	3
1006433923	2020/10/09 19:29	2	46	5	13	3	3	1	2	2	4	1	6	3	3	4	1	2	2	3	2
1006442121	2020/10/09 22:50	2	23	3	17	4	4	1	2	2	2	1	6	1	5	5	2	3	4	2	3
1006446907	2020/10/09 23:15	2	32	4	23	4	8	2	1	2	3	1	6	1	4	4	2	2	2	2	2
1006458994	2020/10/09 18:01	1	38	4	16	4	5	1	2	1	3	1	6	4	4	5	4	4	4	4	4
1006460437	2020/10/09 19:46	2	39	4	27	5	5	1	2	2	3	1	6	1	4	4	4	4	3	3	2
1006464494	2020/10/09 20:10	1	26	3	11	3	1	1	2	1	2	1	1	1	1	1	4	4	4	4	4
1006494842	2020/10/09 23:06	1	28	3	12	3	11	1	2	1	2	2	6	1	4	6	3	3	2	1	2
1006497723	2020/10/09 20:52	1	40	5	16	4	5	1	2	1	4	1	6	6	1	6	2	2	1	3	3
1006547588	2020/10/09 19:32	2	32	4	28	5	5	2	2	2	3	1	6	2	4	6	2	2	2	2	2
1006580355	2020/10/09 18:09	2	33	4	13	3	5	1	2	2	3	2	6	1	1	4	3	2	2	2	2
1006586469	2020/10/09 18:07	1	44	5	14	3	4	2	1	1	4	1	6	1	3	6	4	3	3	3	2
1006612006	2020/10/09 19:03	2	49	5	14	3	9	2	2	2	4	1	6	6	6	6	2	1	1	1	1
1006630635	2020/10/09 21:13	2	48	5	5	2	11	1	2	2	4	1	6	5	1	6	2	2	1	1	1
1006645981	2020/10/09 22:43	2	21	3	24	5	9	1	2	2	2	6	6	1	1	5	3	3	3	3	3
1006660422	2020/10/09 22:32	1	24	3	24	5	5	1	2	1	2	6	6	2	1	6	3	3	3	3	3
1006665119	2020/10/09 18:01	1	23	3	12	3	9	1	2	1	2	1	4	6	6	6	2	3	3	2	2
1006680537	2020/10/09 22:34	2	41	5	23	4	9	1	2	2	4	1	1	4	4	4	4	4	3	4	3
1006713012	2020/10/09 18:40	2	18	2	10	3	10	1	2	2	1	1	6	1	2	5	4	3	2	2	3
1006742395	2020/10/09 18:57	2	21	3	37	7	11	1	2	2	2	1	6	1	1	4	1	3	3	3	2
1006774205	2020/10/09 18:02	1	38	4	27	5	5	1	2	1	3	1	1	1	1	5	2	2	2	2	2
1006777861	2020/10/09 18:17	2	25	3	23	4	5	2	2	2	2	1	3	1	1	2	3	3	2	2	2
1006832404	2020/10/09 18:42	1	29	3	11	3	11	1	2	1	2	5	6	6	2	5	3	3	3	3	3
1006852095	2020/10/10 00:49	2	36	4	40	8	9	1	2	2	3	2	6	1	3	6	2	2	1	1	1
1006855405	2020/10/09 17:57	2	26	3	7	2	11	1	2	2	2	1	1	1	1	6	3	3	3	3	1
1006870284	2020/10/10 09:09	2	23	3	4	2	3	1	2	2	2	6	6	1	1	2	1	2	3	3	3
1006894997	2020/10/09 21:30	1	38	4	12	3	4	1	2	1	3	1	6	1	4	5	4	1	4	3	1
1006903589	2020/10/09 19:20	1	32	4	19	4	11	1	2	1	3	6	6	6	2	6	3	3	3	3	3
1006907360	2020/10/09 20:58	1	33	4	11	3	3	2	1	1	3	1	6	6	6	6	3	3	2	2	2
1006930020	2020/10/10 17:32	2	49	5	12	3	4	1	2	2	4	1	6	1	1	4	1	1	1	1	1
1006935827	2020/10/09 20:00	2	28	3	5	2	3	2	1	2	2	1	6	6	6	6	4	4	2	2	2
1006937233	2020/10/09 20:37	1	34	4	27	5	3	1	2	1	3	1	6	1	1	5	2	3	1	2	2
1006945631	2020/10/09 20:57	1	47	5	9	3	5	2	1	1	4	1	3	3	3	3	1	2	2	1	2
1006948391	2020/10/09 22:13	2	44	5	27	5	8	2	1	2	4	1	6	6	6	5	3	3	2	2	3
1006958626	2020/10/09 21:56	1	17	2	23	4	10	1	2	1	1	1	1	1	1	1	1	1	1	1	1
1006970278	2020/10/09 20:35	2	37	4	24	5	1	2	1	2	3	1	6	5	3	3	3	3	3	3	3
1006972988	2020/10/10 00:28	2	29	3	13	3	5	1	2	2	2	1	6	1	4	4	2	2	2	2	2
1006986292	2020/10/10 02:54	2	33	4	15	4	5	1	2	2	3	1	6	6	3	4	4	3	1	2	3
1007047775	2020/10/09 23:00	1	26	3	21	4	5	1	2	1	2	2	6	5	2	6	2	3	3	3	2
1007060594	2020/10/09 21:03	1	22	3	40	8	10	1	2	1	2	6	6	1	1	4	2	2	2	2	2
1007060836	2020/10/09 18:11	1	33	4	14	3	5	2	1	1	3	6	5	1	1	5	4	3	2	2	2
1007067516	2020/10/09 21:50	1	35	4	25	5	5	1	2	1	3	1	1	1	1	1	4	4	4	4	4
1007074362	2020/10/09 18:35	1	40	5	38	7	5	2	1	1	4	2	1	6	1	6	1	1	1	1	1
1007077173	2020/10/09 21:46	2	18	2	13	3	10	1	2	2	1	1	6	2	2	5	4	4	2	2	3
1007083843	2020/10/09 22:15	1	24	3	15	4	3	1	2	1	2	1	4	1	3	5	3	3	4	3	2
1007102497	2020/10/09 21:30	2	32	4	14	3	9	1	1	2	3	1	6	1	1	4	3	4	2	3	3
1007104066	2020/10/10 00:51	2	31	4	40	8	9	2	2	2	3	1	6	1	1	2	2	3	3	3	3
1007153592	2020/10/09 23:44	1	14	1	38	7	10	1	2	1	1	1	6	1	1	6	2	4	3	4	3
1007198941	2020/10/09 23:25	1	35	4	20	4	4	1	2	1	3	1	1	6	6	6	4	4	1	1	1
1007206652	2020/10/09 18:47	2	22	3	14	3	9	1	2	2	2	1	6	1	2	3	3	3	3	3	3
1007211551	2020/10/09 20:22	2	30	4	11	3	8	2	2	2	3	1	6	1	5	5	3	3	3	2	3
1007233691	2020/10/09 19:22	1	36	4	13	3	3	2	1	1	3	1	2	4	3	5	2	3	2	2	4
1007242218	2020/10/10 09:16	2	18	2	14	3	10	1	2	2	1	3	6	6	2	6	4	4	3	3	2
1007291065	2020/10/09 19:22	1	38	4	28	5	4	2	1	1	3	1	6	6	1	6	4	3	1	2	2
1007308405	2020/10/09 22:38	2	16	2	1	1	10	1	2	2	1	1	4	1	1	5	3	3	1	2	2
1007314037	2020/10/09 21:09	2	28	3	13	3	9	2	2	2	2	1	6	1	6	3	3	3	3	3	3
1007320394	2020/10/09 18:44	2	42	5	27	5	9	2	1	2	4	1	6	6	6	6	3	3	3	3	3
1007324987	2020/10/09 18:07	1	22	3	23	4	10	1	2	1	2	1	2	3	3	3	1	3	2	4	2
1007325737	2020/10/10 17:05	2	37	4	5	2	9	2	1	2	3	1	6	6	2	5	2	3	2	4	1
1007326894	2020/10/09 18:38	2	36	4	42	8	11	1	1	2	3	6	6	6	1	6	1	1	1	1	1
